job_name,key,batch-per-cpu,core*s,cpu%
3n28c_0929-1626,3n28c,2500.0,46956,40.25
2n28c_0929-1606,2n28c,2500.0,28616,49.59
2n08c_0929-1611,2n08c,2500.0,15024,43.9
2n14c_0929-1612,2n14c,2500.0,25116,29.44
2n2c_0929-1604,2n02c,2500.0,3912,42.54
3n28c_0929-1626,3n28c,2500.0,120456,25.03
2n28c_0929-1606,2n28c,2500.0,30576,41.25
test-ray-2n_0929-1429-copy,2n28c,7500.0,80528,74.73
test-ray-4n_0929-1429,4n28c,7500.0,169232,73.72
test-ray-2n_0929-1429,2n28c,7500.0,152880,46.22
test-ray-4c_0929-1426,1n04c,7500.0,5896,73.71
test-ray-16c_0929-1427,1n16c,7500.0,20128,92.74
test-ray-8c_0929-1426,1n08c,7500.0,11040,80.99
test-ray-16c_0929-1428,1n28c,7500.0,39256,76.28